EventName,AthleteGender,GBR_Medal_Contenders_Count
10000m,M         ,0
10000m,W         ,1
100m,M         ,0
100m,W         ,0
100m Hurdles,M         ,0
100m Hurdles,W         ,0
110m Hurdles,M         ,0
110m Hurdles,W         ,0
1500m,M         ,1
1500m,W         ,0
200m,M         ,0
200m,W         ,0
3000m Steeplechase,M         ,0
3000m Steeplechase,W         ,0
400m,M         ,1
400m,W         ,0
400m Hurdles,M         ,0
400m Hurdles,W         ,0
5000m,M         ,1
5000m,W         ,0
800m,M         ,0
800m,W         ,2
Discus Throw,M         ,0
Discus Throw,W         ,0
Hammer Throw,M         ,0
Hammer Throw,W         ,0
High Jump,M         ,0
High Jump,W         ,0
Javelin Throw,M         ,0
Javelin Throw,W         ,0
Long Jump,M         ,0
Long Jump,W         ,0
Pole Vault,M         ,0
Pole Vault,W         ,2
Shot Put,M         ,0
Shot Put,W         ,0
Triple Jump,M         ,0
Triple Jump,W         ,0
