EventName,AthleteGender,mean,median,std,min,max
10000m,M         ,1793.909176755448,1806.55,69.15996699856758,1628.81,1917.81
10000m,W         ,2062.1571803278684,2061.0,114.90317453551538,1800.86,2454.33
100m,M         ,10.774422872340425,10.84,0.25149933354452175,9.83,11.1
100m,W         ,11.930970297029704,12.01,0.38107645700192583,10.8,18.97
100m Hurdles,M         ,,,,,
100m Hurdles,W         ,13.91201754385965,13.92,0.5712590490795988,12.38,18.26
110m Hurdles,M         ,14.077203389830506,14.06,0.46165216989062197,13.14,15.0
110m Hurdles,W         ,,,,,
1500m,M         ,230.92226296490307,232.29500000000002,6.709857775470171,207.79,239.99
1500m,W         ,267.5334044715447,269.61,10.392702994344402,232.61,320.17
200m,M         ,21.63723107569721,21.73,0.4751814165859739,19.73,22.3
200m,W         ,24.23341505131129,24.384999999999998,0.880723929478402,21.88,46.7
3000m Steeplechase,M         ,533.7953465346535,535.915,18.060770674270728,498.65,569.87
3000m Steeplechase,W         ,627.0932712765957,627.96,36.88200393963895,544.35,882.61
400m,M         ,48.28752772073922,48.49,1.2089447371646087,43.44,49.99
400m,W         ,55.34779471544716,55.655,2.0662207627697433,49.29,66.99
400m Hurdles,M         ,52.2910295728368,52.44,1.6491170657998178,48.54,54.98
400m Hurdles,W         ,60.03553719008264,60.275000000000006,2.6963556010018292,54.09,81.5
5000m,M         ,856.5034196891191,859.88,23.636094553556905,774.66,889.99
5000m,W         ,985.7374571428571,986.39,45.81720597240517,868.55,1427.8
800m,M         ,111.90957165948276,112.625,3.1223663380778324,102.27,115.98
800m,W         ,129.58414832373856,130.7,4.71357325816693,108.99,159.69
Discus Throw,M         ,55.08774595267746,54.03,5.069247537724028,48.0,67.73
Discus Throw,W         ,48.331893165750195,47.15,5.752824992218449,24.35,63.15
Hammer Throw,M         ,64.98009319664492,64.68,5.508060053322563,55.05,78.39
Hammer Throw,W         ,57.88901260504201,57.525000000000006,5.493846548669838,22.75,73.02
High Jump,M         ,2.068634105960265,2.05,0.06629530402852102,1.98,2.33
High Jump,W         ,1.7426629422718807,1.73,0.07634097240754135,1.35,1.99
Javelin Throw,M         ,65.640796875,64.745,4.028637994425784,60.04,80.32
Javelin Throw,W         ,44.65538283062645,44.72,5.586752501391758,18.83,59.95
Long Jump,M         ,7.283413498836307,7.22,0.2710403533435959,6.9,8.45
Long Jump,W         ,5.927737384698861,5.86,0.33661393107861226,3.52,7.0
Pole Vault,M         ,4.935272547076313,4.9,0.27803154092220095,4.45,5.85
Pole Vault,W         ,3.911137440758294,3.83,0.31092004498863957,3.26,4.92
Shot Put,M         ,16.970662739322535,16.4,1.666761384521231,15.0,21.31
Shot Put,W         ,14.461019108280256,14.145,1.873890363935128,8.2,18.82
Triple Jump,M         ,14.949946428571428,14.895,0.6933965286980225,13.75,17.27
Triple Jump,W         ,12.547809405940592,12.43,0.4957102506509123,10.29,14.38
