AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompVenue,AthleteName,AthleteGender,Nationality,Flag,EventType,RankValue
1182081,135559,3040734,2024-03-16,10000m,outdoor,1628.81,seconds,10.0,finals,san juan capistrano ca,patrick dever,M         ,gbr,gbr,time_based,1628.81
1152428,104389,2533645,2021-02-20,10000m,outdoor,1630.41,seconds,1.0,finals,san juan capistrano ca,marc scott,M         ,gbr,gbr,time_based,1630.41
1182081,122851,2751399,2022-03-06,10000m,outdoor,1643.88,seconds,6.0,finals,san juan capistrano ca,patrick dever,M         ,gbr,gbr,time_based,1643.88
1094126,129374,2887055,2023-03-04,10000m,outdoor,1800.86,seconds,1.0,finals,san juan capistrano ca,eilish mccolgan,W         ,gbr,gbr,time_based,1800.86
1094126,126297,2809589,2022-06-06,10000m,outdoor,1819.02,seconds,1.0,finals,hengelo,eilish mccolgan,W         ,gbr,gbr,time_based,1819.02
1094126,126941,2830535,2022-07-16,10000m,outdoor,1834.6,seconds,10.0,finals,eugene or,eilish mccolgan,W         ,gbr,gbr,time_based,1834.6
1145889,132910,2969083,2023-06-24,100m,outdoor,9.83,seconds,1.0,finals,randalls island ny,zharnel hughes,M         ,gbr,gbr,time_based,9.83
1145889,134418,2988076,2023-08-20,100m,outdoor,9.88,seconds,3.0,finals,budapest,zharnel hughes,M         ,gbr,gbr,time_based,9.88
1247459,123294,2757746,2022-03-26,100m,outdoor,9.9,seconds,1.0,finals,austin tx,toby makoyawo,M         ,gbr,gbr,time_based,9.9
1137804,126687,2822745,2022-06-25,100m,outdoor,10.8,seconds,1.0,finals,manchester,daryll neita,W         ,gbr,gbr,time_based,10.8
1122149,81430,2437357,2019-09-29,100m,outdoor,10.83,seconds,2.0,finals,doha,dina ashersmith,W         ,gbr,gbr,time_based,10.83
1122149,126941,2831289,2022-07-17,100m,outdoor,10.83,seconds,4.0,finals,eugene or,dina ashersmith,W         ,gbr,gbr,time_based,10.83
1157657,126941,2832275,2022-07-24,100m Hurdles,outdoor,12.38,seconds,5.0,finals,eugene or,cindy sember,W         ,gbr,gbr,time_based,12.38
1157657,109322,2606181,2021-05-09,100m Hurdles,outdoor,12.53,seconds,2.0,finals,walnut ca,cindy sember,W         ,gbr,gbr,time_based,12.53
1157657,104351,2586226,2021-04-10,100m Hurdles,outdoor,12.55,seconds,2.0,finals,miramar fl,cindy sember,W         ,gbr,gbr,time_based,12.55
1141735,83999,2470375,2020-08-14,110m Hurdles,outdoor,13.14,seconds,2.0,finals,monaco,andy pozzi,M         ,gbr,gbr,time_based,13.14
1141735,84488,2486103,2020-09-17,110m Hurdles,outdoor,13.15,seconds,1.0,finals,roma,andy pozzi,M         ,gbr,gbr,time_based,13.15
1274711,134079,2975518,2023-07-09,110m Hurdles,outdoor,13.16,seconds,1.0,finals,manchester,tade ojora,M         ,gbr,gbr,time_based,13.16
1176455,142291,3147955,2024-08-06,1500m,outdoor,207.79,seconds,2.0,finals,paris,josh kerr,M         ,gbr,gbr,time_based,207.79
1176455,112541,2659390,2021-08-07,1500m,outdoor,209.05,seconds,3.0,finals,tokyo,josh kerr,M         ,gbr,gbr,time_based,209.05
1145539,126941,2831688,2022-07-19,1500m,outdoor,209.23,seconds,1.0,finals,eugene or,jake wightman,M         ,gbr,gbr,time_based,209.23
1111484,142291,3148692,2024-08-10,1500m,outdoor,232.61,seconds,3.0,finals,paris,georgia bell,W         ,gbr,gbr,time_based,232.61
1146628,142291,3148692,2024-08-10,1500m,outdoor,233.37,seconds,5.0,finals,paris,laura muir,W         ,gbr,gbr,time_based,233.37
1146628,134941,3137242,2024-07-07,1500m,outdoor,233.79,seconds,3.0,finals,paris,laura muir,W         ,gbr,gbr,time_based,233.79
1145889,128270,2981016,2023-07-23,200m,outdoor,19.73,seconds,3.0,finals,london,zharnel hughes,M         ,gbr,gbr,time_based,19.73
1145889,134079,2976525,2023-07-09,200m,outdoor,19.77,seconds,1.0,finals,manchester,zharnel hughes,M         ,gbr,gbr,time_based,19.77
