EventName,AthleteGender,mean_gbr,median_gbr,std_gbr,min_gbr,max_gbr,mean_global,median_global,std_global,min_global,max_global
10000m,M         ,1793.909176755448,1806.55,69.15996699856758,1628.81,1917.81,1674.2780508474575,1673.815,40.45571252191113,1603.14,1761.1
10000m,W         ,2062.1571803278684,2061.0,114.90317453551538,1800.86,2454.33,1885.4497196261682,1879.96,56.90097711894288,1795.32,2154.18
100m,M         ,10.774422872340425,10.84,0.25149933354452175,9.83,11.1,9.922368421052632,9.895,0.09370552524960522,9.76,10.08
100m,W         ,11.930970297029704,12.01,0.38107645700192583,10.8,18.97,10.895128205128206,10.92,0.13676471911301563,10.61,11.19
100m Hurdles,M         ,,,,,,,,,,
100m Hurdles,W         ,13.91201754385965,13.92,0.5712590490795988,12.38,18.26,12.535675675675675,12.49,0.2321941302318257,12.06,13.24
110m Hurdles,M         ,14.077203389830506,14.06,0.46165216989062197,13.14,15.0,13.2325,13.195,0.19122723954200946,12.96,13.87
110m Hurdles,W         ,,,,,,,,,,
1500m,M         ,230.92226296490307,232.29500000000002,6.709857775470171,207.79,239.99,213.57183908045977,212.77,3.9858670466209327,207.65,224.48
1500m,W         ,267.5334044715447,269.61,10.392702994344402,232.61,320.17,240.89558139534884,240.95,5.393035073598311,231.29,255.13
200m,M         ,21.63723107569721,21.73,0.4751814165859739,19.73,22.3,19.992682926829268,20.02,0.2899915894491073,19.31,20.57
200m,W         ,24.23341505131129,24.384999999999998,0.880723929478402,21.88,46.7,22.24175,22.235,0.4546787397825601,21.41,24.0
3000m Steeplechase,M         ,533.7953465346535,535.915,18.060770674270728,498.65,569.87,498.00499999999994,496.465,9.675768427709844,481.35,520.23
3000m Steeplechase,W         ,627.0932712765957,627.96,36.88200393963895,544.35,882.61,553.6530136986302,553.53,12.880169694030908,532.76,592.66
400m,M         ,48.28752772073922,48.49,1.2089447371646087,43.44,49.99,44.83764705882353,44.79,0.8163641056178174,43.4,46.85
400m,W         ,55.34779471544716,55.655,2.0662207627697433,49.29,66.99,50.05843137254902,49.97,1.0036720032939448,48.14,52.67
400m Hurdles,M         ,52.2910295728368,52.44,1.6491170657998178,48.54,54.98,47.800769230769234,47.81,1.0927377125834112,45.94,52.53
400m Hurdles,W         ,60.03553719008264,60.275000000000006,2.6963556010018292,54.09,81.5,53.276153846153846,53.34,1.2770744020377554,50.37,55.84
5000m,M         ,856.5034196891191,859.88,23.636094553556905,774.66,889.99,797.0151807228915,795.13,11.817955165603278,778.15,829.69
5000m,W         ,985.7374571428571,986.39,45.81720597240517,868.55,1427.8,892.1832894736841,893.335,14.765987709431675,866.72,929.03
800m,M         ,111.90957165948276,112.625,3.1223663380778324,102.27,115.98,105.01094339622641,105.27,1.7292976165872653,101.19,108.77
800m,W         ,129.58414832373856,130.7,4.71357325816693,108.99,159.69,119.10611111111112,118.27000000000001,2.5192522225863554,115.21,125.53
Discus Throw,M         ,55.08774595267746,54.03,5.069247537724028,48.0,67.73,65.78349999999999,65.88499999999999,2.5667877603689107,61.18,71.46
Discus Throw,W         ,48.331893165750195,47.15,5.752824992218449,24.35,63.15,63.87084745762712,63.46,3.34712964428329,56.47,69.5
Hammer Throw,M         ,64.98009319664492,64.68,5.508060053322563,55.05,78.39,77.84349999999999,77.555,2.577182685263181,72.56,84.12
Hammer Throw,W         ,57.88901260504201,57.525000000000006,5.493846548669838,22.75,73.02,73.22896551724138,73.445,2.4704191629954897,68.12,78.96
High Jump,M         ,2.068634105960265,2.05,0.06629530402852102,1.98,2.33,2.2791954022988503,2.28,0.06012039066709544,2.15,2.37
High Jump,W         ,1.7426629422718807,1.73,0.07634097240754135,1.35,1.99,1.9401190476190475,1.95,0.05233106031584717,1.84,2.04
Javelin Throw,M         ,65.640796875,64.745,4.028637994425784,60.04,80.32,83.61627118644067,83.3,3.8031325102745384,74.56,92.97
Javelin Throw,W         ,44.65538283062645,44.72,5.586752501391758,18.83,59.95,61.81864406779661,62.28,2.93005852455798,54.85,66.91
Long Jump,M         ,7.283413498836307,7.22,0.2710403533435959,6.9,8.45,8.033139534883722,8.004999999999999,0.24951369939005458,7.59,8.69
Long Jump,W         ,5.927737384698861,5.86,0.33661393107861226,3.52,7.0,6.694831460674157,6.71,0.23984896933255243,6.12,7.3
Pole Vault,M         ,4.935272547076313,4.9,0.27803154092220095,4.45,5.85,5.786190476190477,5.75,0.15947130090338704,5.5,6.25
Pole Vault,W         ,3.911137440758294,3.83,0.31092004498863957,3.26,4.92,4.629166666666666,4.6,0.1656989449298853,4.3,4.95
Shot Put,M         ,16.970662739322535,16.4,1.666761384521231,15.0,21.31,21.31123595505618,21.4,0.9859580253659143,19.28,23.51
Shot Put,W         ,14.461019108280256,14.145,1.873890363935128,8.2,18.82,18.826813186813187,18.93,0.9892622156838551,16.08,20.58
Triple Jump,M         ,14.949946428571428,14.895,0.6933965286980225,13.75,17.27,17.006144578313254,17.01,0.5429432691141353,15.01,17.98
Triple Jump,W         ,12.547809405940592,12.43,0.4957102506509123,10.29,14.38,14.377078651685393,14.4,0.5294319473978066,12.57,15.74
