AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompVenue,AthleteName,AthleteGender,Nationality,Flag,EventType,RankValue
1182081,135559,3040734,2024-03-16,10000m,outdoor,1628.81,seconds,10.0,finals,san juan capistrano ca,patrick dever,M         ,gbr,gbr,time_based,1628.81
1152428,104389,2533645,2021-02-20,10000m,outdoor,1630.41,seconds,1.0,finals,san juan capistrano ca,marc scott,M         ,gbr,gbr,time_based,1630.41
1182081,122851,2751399,2022-03-06,10000m,outdoor,1643.88,seconds,6.0,finals,san juan capistrano ca,patrick dever,M         ,gbr,gbr,time_based,1643.88
1153562,142291,3147079,2024-08-02,10000m,outdoor,1603.14,seconds,1.0,finals,paris,joshua cheptegei,M         ,uga,global,time_based,1603.14
1255681,142291,3147079,2024-08-02,10000m,outdoor,1603.44,seconds,2.0,finals,paris,berihu aregawi,M         ,eth,global,time_based,1603.44
1155055,142291,3147079,2024-08-02,10000m,outdoor,1603.46,seconds,3.0,finals,paris,grant fisher,M         ,usa,global,time_based,1603.46
1094126,129374,2887055,2023-03-04,10000m,outdoor,1800.86,seconds,1.0,finals,san juan capistrano ca,eilish mccolgan,W         ,gbr,gbr,time_based,1800.86
1094126,126297,2809589,2022-06-06,10000m,outdoor,1819.02,seconds,1.0,finals,hengelo,eilish mccolgan,W         ,gbr,gbr,time_based,1819.02
1094126,126941,2830535,2022-07-16,10000m,outdoor,1834.6,seconds,10.0,finals,eugene or,eilish mccolgan,W         ,gbr,gbr,time_based,1834.6
1137484,112541,2659389,2021-08-07,10000m,outdoor,1795.32,seconds,1.0,finals,tokyo,sifan hassan,W         ,ned,global,time_based,1795.32
1111158,112541,2659389,2021-08-07,10000m,outdoor,1796.18,seconds,2.0,finals,tokyo,kalkidan gezahegne,W         ,brn,global,time_based,1796.18
1176316,112541,2659389,2021-08-07,10000m,outdoor,1801.72,seconds,3.0,finals,tokyo,letesenbet gidey,W         ,eth,global,time_based,1801.72
1145889,132910,2969083,2023-06-24,100m,outdoor,9.83,seconds,1.0,finals,randalls island ny,zharnel hughes,M         ,gbr,gbr,time_based,9.83
1145889,134418,2988076,2023-08-20,100m,outdoor,9.88,seconds,3.0,finals,budapest,zharnel hughes,M         ,gbr,gbr,time_based,9.88
1247459,123294,2757746,2022-03-26,100m,outdoor,9.9,seconds,1.0,finals,austin tx,toby makoyawo,M         ,gbr,gbr,time_based,9.9
1167054,81430,2414556,2019-09-28,100m,outdoor,9.76,seconds,1.0,finals,doha,christian coleman,M         ,usa,global,time_based,9.76
1265801,142291,3147158,2024-08-04,100m,outdoor,9.79,seconds,2.0,finals,paris,kishane thompson,M         ,jam,global,time_based,9.79
1157845,142291,3147158,2024-08-04,100m,outdoor,9.79,seconds,1.0,finals,paris,noah lyles,M         ,usa,global,time_based,9.79
1137804,126687,2822745,2022-06-25,100m,outdoor,10.8,seconds,1.0,finals,manchester,daryll neita,W         ,gbr,gbr,time_based,10.8
1122149,81430,2437357,2019-09-29,100m,outdoor,10.83,seconds,2.0,finals,doha,dina ashersmith,W         ,gbr,gbr,time_based,10.83
1122149,126941,2831289,2022-07-17,100m,outdoor,10.83,seconds,4.0,finals,eugene or,dina ashersmith,W         ,gbr,gbr,time_based,10.83
1109479,112541,2658130,2021-07-31,100m,outdoor,10.61,seconds,1.0,finals,tokyo,elaine thompsonherah,W         ,jam,global,time_based,10.61
1203210,134418,2988306,2023-08-21,100m,outdoor,10.65,seconds,1.0,finals,budapest,shacarri richardson,W         ,usa,global,time_based,10.65
1054406,126941,2831289,2022-07-17,100m,outdoor,10.67,seconds,1.0,finals,eugene or,shellyann fraserpryce,W         ,jam,global,time_based,10.67
1157657,126941,2832275,2022-07-24,100m Hurdles,outdoor,12.38,seconds,5.0,finals,eugene or,cindy sember,W         ,gbr,gbr,time_based,12.38
1157657,109322,2606181,2021-05-09,100m Hurdles,outdoor,12.53,seconds,2.0,finals,walnut ca,cindy sember,W         ,gbr,gbr,time_based,12.53
1157657,104351,2586226,2021-04-10,100m Hurdles,outdoor,12.55,seconds,2.0,finals,miramar fl,cindy sember,W         ,gbr,gbr,time_based,12.55
