AthleteGUID,AthleteName,AthleteGender,Nationality
1119235,Paul Martelletti,M         ,GBR
1109804,Angela Barrett,W         ,GBR
1152467,Rachel Forder,W         ,GBR
1191933,Gilbert Grundy,M         ,GBR
1140691,Elliot Slade,M         ,GBR
1266893,Jenna Breen,W         ,GBR
1291263,Caitlyn Harvey,W         ,GBR
1279235,Freya Bohan,W         ,GBR
1050546,Anyika Onuora,W         ,GBR
1154953,Jemma Reekie,W         ,GBR
1276911,Ryan Lowe,M         ,GBR
1133250,Allan Smith,M         ,GBR
1237153,Bill Porter,M         ,GBR
1172446,Jamie Webb,M         ,GBR
1065143,Rabah Yousif,M         ,GBR
1144824,Jessica Turner,W         ,GBR
1108243,Amy Allcock,W         ,GBR
1175529,Owen Richardson,M         ,GBR
1236776,Nicole Yeargin,W         ,GBR
1178027,Jessica Scheriff,W         ,GBR
1195323,Ben Potrykus,M         ,GBR
1229134,Harry Powell,M         ,GBR
1288608,Bradley Wattleworth,M         ,GBR
1178868,Daniel Haymes,M         ,GBR
1156817,Mike Ward,M         ,GBR
1226199,Aidan Thompson,M         ,GBR
1156172,Charlotte Cayton-Smith,W         ,GBR
1159585,Lucy Jones,W         ,GBR
1167271,Euan Makepeace,M         ,GBR
1211027,William Battershill,M         ,GBR
1152546,Daniel Wallis,M         ,GBR
1126175,Alex Cornwell,M         ,GBR
1167367,Millie Howard,W         ,GBR
1243283,Julia Paternain,W         ,GBR
1142650,Kathryn Gillespie,W         ,GBR
1222147,Patrick O'Connor,M         ,GBR
1194714,Declan McManus,M         ,GBR
1196335,Haran Dunderdale,M         ,GBR
1275294,Shona Blades,W         ,GBR
1237865,Adam Fogg,M         ,GBR
1261981,Laura Turley,W         ,GBR
1242699,Bethan Pilley,W         ,GBR
1268552,Charlotte Williams,W         ,GBR
1230875,Emily Race,W         ,GBR
1152804,Micaela Brindle,W         ,GBR
1275558,Mark Bostock,M         ,GBR
1199657,Emma Howe,W         ,GBR
1285320,Cloe Hubbard,W         ,GBR
1280106,Charlotte Stamp,W         ,GBR
1080154,Amanda Shaw,W         ,GBR
1276464,Sam Knee-Robinson,M         ,GBR
1147862,Liam Dee,M         ,GBR
1177196,Jamie Dee,M         ,GBR
1163592,Lily Beckford,W         ,GBR
1211811,Livia Gauntlett,W         ,GBR
1094692,Jodie Williams,W         ,GBR
1163260,Ada'ora Chigbo,W         ,GBR
1202472,Olivia Okoli,W         ,GBR
1144440,Simi Fajemisin,W         ,GBR
1242318,Harry Maslen,M         ,GBR
1171136,Patrick Sylla,M         ,GBR
1218863,Nicholas Hamilton,M         ,GBR
1240845,George Evans,M         ,GBR
1230369,Anna Purchase,W         ,GBR
1202359,Emma Nwofor,W         ,GBR
1146095,Sian Morgan,W         ,GBR
1288128,Nick Impey,M         ,GBR
1066906,Nisha Desai,W         ,GBR
1246056,Hermione Plumptre,W         ,GBR
1291401,Anna Forbes,W         ,GBR
1186679,Natasha Smith,W         ,GBR
1193120,Alice Hopkins,W         ,GBR
1183958,Niamh Bailey,W         ,GBR
1279877,Jodi Beynon,W         ,GBR
1218384,Lauren Evans,W         ,GBR
1209907,Holly McArthur,W         ,GBR
1191561,Emma Canning,W         ,GBR
1263443,Ashleigh Spiliopoulou,W         ,GBR
1262994,Emily Bee,W         ,GBR
1281182,Emilie Davies,W         ,GBR
1179149,Alexandra Hill,W         ,GBR
1194478,Nicole Kendall,W         ,GBR
1177608,Mhairi Patience,W         ,GBR
1249457,Oliver Biddle,M         ,GBR
1288645,Jordanna Morrish,W         ,GBR
1222251,Amy Hodgson,W         ,GBR
1223383,Georgia Silcox,W         ,GBR
1179991,Katie Garland,W         ,GBR
1287807,Hayley Perrin,W         ,GBR
1214759,Suzzanne Palmer,W         ,GBR
1279439,Mallory Cluley,W         ,GBR
1190215,Lauren Williams,W         ,GBR
1149714,Aisha Naibe-Wey,W         ,GBR
1104319,Avril Jackson,W         ,GBR
1187292,Montana Jackson,W         ,GBR
1261529,Sarah Kearsey,W         ,GBR
1256876,Chay Clark,W         ,GBR
1221455,Sophie Elliss,W         ,GBR
1232245,Natalie Ainge,W         ,GBR
1195052,Anna Nelson,W         ,GBR
1112685,Jessica Taylor-Jemmett,W         ,GBR
1265249,Iris Oliarnyk,W         ,GBR
1149606,Katie Stainton,W         ,GBR
1177653,Gavin Johnson-Assoon,M         ,GBR
1104009,Bonne Buwembo,M         ,GBR
