AthleteGUID,AthleteName,AthleteGender,Nationality
1469674,Allan Ngitsi Chirwa,M         ,MAW
1469199,Aleksandr Salahudinov,M         ,KGZ
1464577,Onisio Pereia,M         ,MOZ
1452109,Prestina Ochonogor,W         ,NGR
1441632,Hein Htet Aung,M         ,MYA
1434371,Abdisa Fayisa,M         ,ETH
1431912,Christian Salvador,M         ,ECU
1416606,Emelyne Izabayo,W         ,RWA
1412593,Jerry Jokinen,M         ,FIN
1405434,Nicolas Daru,M         ,FRA
1393216,Martin Machura,M         ,CZE
1387617,Steven Richter,M         ,GER
1384666,Samira Awal,W         ,NIG
1370522,Faith Cherotich,W         ,KEN
1370480,Daiki Ogawa,M         ,JPN
1370338,Simon Spiteri,M         ,MLT
1369126,Salaheddine Ben Yazide,M         ,MAR
1486999,Matthias Kyburz,M         ,SUI
1470820,Kidane Andemikael,M         ,ERI
1470728,Aleksander Tekleweld,M         ,ERI
1448616,Aayush Kunwar,M         ,NEP
1437311,Therence Bizoza,M         ,BDI
1437260,Samwel Nyamae,M         ,KEN
1433377,Musa Sulimann,M         ,SUD
1433199,Emeline Imanizabayo,W         ,RWA
1430871,Joseph Green,M         ,NULL
1427495,Jiang Zhichao,W         ,CHN
1418486,Xiong Shiqi,W         ,CHN
1414992,Amna Bakhit Barsham,W         ,SUD
1411467,Kethobogile Haingura,M         ,BOT
1409595,Beppe Grillo,M         ,MLT
1408691,Paramjeet Singh Bisht,M         ,IND
1400768,Samuel Ogazi,M         ,NGR
1470754,Hermon Habtemicael,M         ,ERI
1469677,Mohammed Dwedar,M         ,PLE
1459422,Seco Camara,M         ,GBS
1453858,Marcos Santos,M         ,ANG
1452271,Terrone Webster,M         ,AIA
1429882,Misganaw Wakuma,M         ,ETH
1427971,Abdul-Rasheed Saminu,M         ,GHA
1418969,Pahal Kiran,W         ,IND
1404549,Adam Ibadulla,M         ,MDV
1403337,Sha Mahmood Noor Zahi,M         ,AFG
1393217,Siegfried Wentz,M         ,GER
1393214,Aleksandr Nevskiy,M         ,UKR
1393209,Dariusz Ludwig,M         ,POL
1393208,Trond Skramstad,M         ,NOR
1393207,Steffen Grummt,M         ,GER
1393206,Uwe Freimuth,M         ,GER
1388795,Raynold Cheruiyot,M         ,KEN
1482591,Biniam Mehary,M         ,ETH
1465754,Perina Lokure Nakang,W         ,SSD
1464982,Brian Komen,M         ,KEN
1456837,Georgiana Sesay,W         ,SLE
1456110,Jonash Moncherry,M         ,SEY
1440807,Addy Wiley,W         ,USA
1434175,Macarena Gimenez,W         ,PAR
1432026,Koitatoi Kidali,M         ,KEN
1411552,Yalemget Yaregal,W         ,ETH
1410250,Davonte Howell,M         ,CAY
1405772,Juliane Hvid,W         ,DEN
1404744,Yeral Nuñez,M         ,DOM
1401610,Matheus Lima,M         ,BRA
1474685,Waisake Tewa,M         ,FIJ
1469076,Mokulubete Blandina Makatsi,W         ,LES
1463537,Aline De Freitas,W         ,BRA
1441602,Zaid Al Awamleh,M         ,JOR
1441177,James Corrigan,M         ,USA
1430072,Mohammed Msaad,M         ,MAR
1423411,Birke Haylom,W         ,ETH
1420873,Maher Ben Hlima,M         ,POL
1405379,Annie Saugstrup,W         ,DEN
1395704,Rigbe Habteselassie,W         ,ERI
1393221,Stefan Niklaus,M         ,SUI
1393213,Guido Kratschmer,M         ,GER
1393210,Jürgen Hingsen,M         ,GER
1371478,Tharushi Karunarathna,W         ,SRI
1369757,Seare Dawit,M         ,ERI
1368456,Ferenc Soma Kovács,M         ,HUN
1367176,Alessandra Gasparelli,W         ,SMR
1366619,Erik Erlandsson,M         ,SWE
1365973,Erin Reese,W         ,USA
1364597,Pauline Stey,W         ,FRA
1360584,Teresia Gateri,W         ,KEN
1356149,Ermiyas Girma,M         ,ETH
1354570,César Alberto Herrera,M         ,COL
1352161,Wanya McCoy,M         ,BAH
1352144,Marione Fourie,W         ,RSA
1398080,Graham Pellegrini,M         ,MLT
1395697,Dominique Lasconi Mulamba,M         ,COD
1370830,Jackline Chepkoech,W         ,KEN
1370494,Egide Ntakarutimana,M         ,BDI
1369618,José Andrés Salazar,M         ,ESA
1368600,Pau Blasi,M         ,AND
1367762,Medina Eisa,W         ,ETH
1367103,Lurdes Gloria Manuel,W         ,CZE
1366183,Favoris Muzrapov,M         ,TJK
1371471,Ronal Longa,M         ,NULL
1370946,Tapiwa Makarawu,M         ,ZIM
1370663,Purity Chepkirui,W         ,KEN
1370497,Ronald A. Mencia,M         ,CUB
1370328,Stefan Nillessen,M         ,NED
1368174,Luca Sito,M         ,ITA
1364982,Mika Sosna,M         ,GER
1364287,Nick Griggs,M         ,IRL
1361620,Djamel Sedjati,M         ,ALG
1393219,Torsten Voss,M         ,GER
