AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1469674,134418,2988487,22/08/2023,800m,outdoor,111.62,seconds,9,Heats,WC,Budapest,1,NULL
1469199,134640,2994011,01/10/2023,Half Marathon,outdoor,4246,seconds,83,Finals,WC,Rīga,1,NULL
1464577,134418,2988039,19/08/2023,100m,outdoor,10.89,seconds,2,Single race,WC,Budapest,1,-0.8
1464577,134418,2988010,19/08/2023,100m,outdoor,11.09,seconds,8,Heats,WC,Budapest,1,0
1452109,142291,3148299,08/08/2024,Long Jump,outdoor,6.24,metres,12,Finals,OG,Paris,1,0.3
1452109,142291,3147791,06/08/2024,Long Jump,outdoor,6.65,metres,7,Quarter-finals,OG,Paris,1,0.1
1441632,134418,2988487,22/08/2023,800m,outdoor,113.63,seconds,8,Heats,WC,Budapest,1,NULL
1434371,142291,3147061,02/08/2024,1500m,outdoor,219.67,seconds,14,Heats,OG,Paris,1,NULL
1434371,142291,3147136,03/08/2024,1500m,outdoor,216.82,seconds,10,Quarter-finals,OG,Paris,1,NULL
1431912,134640,2994011,01/10/2023,Half Marathon,outdoor,4118,seconds,81,Finals,WC,Rīga,1,NULL
1416606,134640,2993946,01/10/2023,Half Marathon,outdoor,4399,seconds,38,Finals,WC,Rīga,1,NULL
1412593,134418,2988050,19/08/2023,20km Walk,outdoor,5214,seconds,43,Finals,WC,Budapest,1,NULL
1405434,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,500.52,seconds,8,Heats,OG,Paris,1,NULL
1393216,120524,2694832,13/08/2021,Decathlon,outdoor,7639,points,13,Finals,WC,Helsinki,0,NULL
1387617,134418,2988027,19/08/2023,Discus Throw,outdoor,63.37,metres,17,Quarter-finals,WC,Budapest,1,NULL
1384666,142291,3147060,02/08/2024,100m,outdoor,12.06,seconds,5,Single race,OG,Paris,1,0
1370522,142291,3147153,04/08/2024,3000m Steeplechase,outdoor,550.57,seconds,2,Heats,OG,Paris,1,NULL
1370522,142291,3147928,06/08/2024,3000m Steeplechase,outdoor,535.15,seconds,3,Finals,OG,Paris,1,NULL
1370522,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,559.55,seconds,1,Heats,WC,Budapest,1,NULL
1370522,134418,2989249,27/08/2023,3000m Steeplechase,outdoor,540.69,seconds,3,Finals,WC,Budapest,1,NULL
1370480,142291,3147906,06/08/2024,400m Hurdles,outdoor,49.25,seconds,5,Quarter-finals,OG,Paris,1,NULL
1370480,142291,3147269,05/08/2024,400m Hurdles,outdoor,50.21,seconds,6,Heats,OG,Paris,1,NULL
1370338,134640,2994011,01/10/2023,Half Marathon,outdoor,4117,seconds,80,Finals,WC,Rīga,1,NULL
1369126,126941,2830540,15/07/2022,3000m Steeplechase,outdoor,518.46,seconds,13,Heats,WC,Eugene OR,1,NULL
1486999,142291,3148725,10/08/2024,Marathon,outdoor,7892,seconds,30,Finals,OG,Paris,1,NULL
